author_name,COMMITER_HASH,T_api_design,T_bad_practice,T_brain_overload,T_cert,T_clumsy,T_confusing,T_convention,T_cwe,T_design,T_duplicate,T_html5,T_misra,T_NOT_DEFINIED,T_obsolete,T_performance,T_pitfall,T_psr2,T_redundant,T_suspicious,T_unused
Matt Mullenweg,a00617018a5a3f3438ed3fd4a56a0cabd8469ffd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,f452cee4ab549ee91a1cd73ec310547e5aa22b40,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,749f3938724be641478412d427e7b23a642a7a39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,30f6f172c898598d7b65602ff0dc96252638e237,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,88d4ebbac452c0ebea96634daac1f3c4b10a897d,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,78eff94e5de6646e3504102d2287a9e3cb57fd86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
michelvaldrighi,15b2fd0fb0e557d2ec0f53b804b01ce4e37cc731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alex King,192fc9544f9800b51fb12d13e5a57f89e0113c50,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,d552550752c0be7d473ce2ae7df31dc737260d3c,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Matt Mullenweg,e330103f7edcd20a8ac1cb43eab40c3c8f717210,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,4209bebb6c7646f2868d2ca700246ad3580f89c1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
Alex King,81a4ca78506ca2cef94cf603c3db3ccd23d98e8d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Matt Mullenweg,6a55c9a84c0947330816e043a04d19c64f9c0360,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,2f6e0142f8bd00588c05de48b00f59bf398d0c67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Matt Mullenweg,8cf709b9e793317336b0b3b7bcd660d5aad95fbc,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
Matt Mullenweg,f924ebc46e75176e957fc31dd0323697e592e550,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
