ID,CS,SQI
1256,1839,11687
1257,1839,11687
1258,1841,11695
1259,1841,11695
1260,1841,11695
1261,1843,11699
1262,1843,11699
1263,1843,11699
1264,1841,11695
1265,1841,11695
1266,1841,11695
1267,1841,11695
1268,1841,11695
1269,1841,11695
1270,1841,11695
1271,1842,11697
1272,1842,11697
1273,1844,11706
1274,1844,11706
1275,1844,11706
1276,1844,11706
1277,1844,11706
1278,1844,11706
1279,1847,11733
1280,1847,11733
1281,1847,11733
1282,1848,11738
1283,1848,11738
1284,1848,11738
1285,1848,11738
1286,1856,11803
1287,1856,11803
1288,1856,11803
1289,1856,11803
1290,1857,11805
1291,1857,11805
1292,1857,11805
1293,1858,11813
1294,1858,11813
1295,1858,11813
1296,1858,11813
1297,1858,11813
1298,1858,11813
1299,1858,11813
1300,1827,11553
1301,1823,11533
1302,1823,11533
1303,1854,11793
1304,1857,11799
1305,1858,11814
1306,1858,11814
1307,1859,11816
1308,1859,11816
1309,1859,11816
1310,1770,11314
1311,1770,11314
1312,1770,11314
1313,1770,11314
1314,1770,11314
1315,1769,11309
1316,1769,11309
1317,1769,11309
1318,1769,11309
1319,1769,11309
1320,1769,11309
1321,1858,11811
1322,1860,11815
1323,1860,11815
1324,1860,11815
1325,1860,11815
1326,1860,11815
1327,1860,11815
1328,1860,11818
1329,1860,11818
1330,1860,11818
1331,1860,11818
1332,1860,11818
1333,1860,11818
1334,1860,11818
1335,1861,11823
1336,1861,11823
1337,1861,11823
1338,1861,11823
1339,1861,11823
1340,1861,11823
1341,1861,11823
1342,1861,11823
1343,1861,11823
1344,1861,11823
1345,1872,11861
1346,1930,12294
1347,1930,12294
1348,1947,12403
1349,1930,12294
1350,1930,12297
1351,1959,12493
1352,1960,12500
1353,1976,12637
1354,1985,12837
1355,1985,12837
1356,1985,12837
1357,1985,12837
1358,1983,12830
1359,1976,12748
1360,1976,12748
1361,1976,12748
1362,1976,12748
1363,1976,12748
1364,1976,12748
1365,1975,12746
1366,1976,12752
1367,1978,12756
1368,1977,12754
1369,1977,12754
1370,1982,12778
1371,1982,12778
1372,1984,12794
1373,1990,12801
1374,1985,12762
1375,1985,12764
1376,1986,12772
1377,1986,12772
1378,1987,12780
1379,1988,12782
1380,1988,12782
1381,1989,12784
1382,1991,12787
1383,1987,12773
1384,1987,12773
1385,1986,12747
1386,1987,12752
1387,1987,12752
1388,1991,12794
1389,1991,12798
1390,1991,12798
1391,1991,12798
1392,1992,12806
1393,1990,12796
1394,1991,12803
1395,1992,12805
1396,1992,12805
1397,1992,12805
1398,1994,12809
1399,1994,12811
1400,1999,12826
1401,1998,12825
1402,1997,12823
1403,1996,12821
1404,1998,12808
1405,1998,12808
1406,1998,12808
1407,1998,12808
1408,1998,12808
1409,1998,12808
1410,1998,12808
1411,1998,12806
1412,2000,12820
1413,2000,12820
1414,2000,12820
1415,2000,12820
